ccode,year,polity
2,1816,9
2,1817,9
2,1818,9
2,1819,9
2,1820,9
2,1821,9
2,1822,9
2,1823,9
2,1824,9
2,1825,9
2,1826,9
2,1827,9
2,1828,9
2,1829,9
2,1830,9
2,1831,9
2,1832,9
2,1833,9
2,1834,9
2,1835,9
2,1836,9
2,1837,9
2,1838,9
2,1839,9
2,1840,9
2,1841,9
2,1842,9
2,1843,9
2,1844,9
2,1845,10
2,1846,10
2,1847,10
2,1848,10
2,1849,10
2,1850,9
2,1851,9
2,1852,9
2,1853,9
2,1854,8
2,1855,8
2,1856,8
2,1857,8
2,1858,8
2,1859,8
2,1860,8
2,1861,8
2,1862,8
2,1863,8
2,1864,8
2,1865,8
2,1866,8
2,1867,8
2,1868,8
2,1869,8
2,1870,8
2,1871,10
2,1872,10
2,1873,10
2,1874,10
2,1875,10
2,1876,10
2,1877,10
2,1878,10
2,1879,10
2,1880,10
2,1881,10
2,1882,10
2,1883,10
2,1884,10
2,1885,10
2,1886,10
2,1887,10
2,1888,10
2,1889,10
2,1890,10
2,1891,10
2,1892,10
2,1893,10
2,1894,10
2,1895,10
2,1896,10
2,1897,10
2,1898,10
2,1899,10
2,1900,10
2,1901,10
2,1902,10
2,1903,10
2,1904,10
2,1905,10
2,1906,10
2,1907,10
2,1908,10
2,1909,10
2,1910,10
2,1911,10
2,1912,10
2,1913,10
2,1914,10
2,1915,10
2,1916,10
2,1917,10
2,1918,10
2,1919,10
2,1920,10
2,1921,10
2,1922,10
2,1923,10
2,1924,10
2,1925,10
2,1926,10
2,1927,10
2,1928,10
2,1929,10
2,1930,10
2,1931,10
2,1932,10
2,1933,10
2,1934,10
2,1935,10
2,1936,10
2,1937,10
2,1938,10
2,1939,10
2,1940,10
2,1941,10
2,1942,10
2,1943,10
2,1944,10
2,1945,10
2,1946,10
2,1947,10
2,1948,10
2,1949,10
2,1950,10
2,1951,10
2,1952,10
2,1953,10
2,1954,10
2,1955,10
2,1956,10
2,1957,10
2,1958,10
2,1959,10
2,1960,10
2,1961,10
2,1962,10
2,1963,10
2,1964,10
2,1965,10
2,1966,10
2,1967,8
2,1968,8
2,1969,8
2,1970,8
2,1971,8
2,1972,8
2,1973,8
2,1974,10
2,1975,10
2,1976,10
2,1977,10
2,1978,10
2,1979,10
2,1980,10
2,1981,10
2,1982,10
2,1983,10
2,1984,10
2,1985,10
2,1986,10
2,1987,10
2,1988,10
2,1989,10
2,1990,10
2,1991,10
2,1992,10
2,1993,10
2,1994,10
2,1995,10
2,1996,10
2,1997,10
2,1998,10
2,1999,10
2,2e3,10
2,2001,10
2,2002,10
2,2003,10
2,2004,10
2,2005,10
2,2006,10
2,2007,10
20,1920,9
20,1921,10
20,1922,10
20,1923,10
20,1924,10
20,1925,10
20,1926,10
20,1927,10
20,1928,10
20,1929,10
20,1930,10
20,1931,10
20,1932,10
20,1933,10
20,1934,10
20,1935,10
20,1936,10
20,1937,10
20,1938,10
20,1939,10
20,1940,10
20,1941,10
20,1942,10
20,1943,10
20,1944,10
20,1945,10
20,1946,10
20,1947,10
20,1948,10
20,1949,10
20,1950,10
20,1951,10
20,1952,10
20,1953,10
20,1954,10
20,1955,10
20,1956,10
20,1957,10
20,1958,10
20,1959,10
20,1960,10
20,1961,10
20,1962,10
20,1963,10
20,1964,10
20,1965,10
20,1966,10
20,1967,10
20,1968,10
20,1969,10
20,1970,10
20,1971,10
20,1972,10
20,1973,10
20,1974,10
20,1975,10
20,1976,10
20,1977,10
20,1978,10
20,1979,10
20,1980,10
20,1981,10
20,1982,10
20,1983,10
20,1984,10
20,1985,10
20,1986,10
20,1987,10
20,1988,10
20,1989,10
20,1990,10
20,1991,10
20,1992,10
20,1993,10
20,1994,10
20,1995,10
20,1996,10
20,1997,10
20,1998,10
20,1999,10
20,2e3,10
20,2001,10
20,2002,10
20,2003,10
20,2004,10
20,2005,10
20,2006,10
20,2007,10
31,1973,NA
31,1974,NA
31,1975,NA
31,1976,NA
31,1977,NA
31,1978,NA
31,1979,NA
31,1980,NA
31,1981,NA
31,1982,NA
31,1983,NA
31,1984,NA
31,1985,NA
31,1986,NA
31,1987,NA
31,1988,NA
31,1989,NA
31,1990,NA
31,1991,NA
31,1992,NA
31,1993,NA
31,1994,NA
31,1995,NA
31,1996,NA
31,1997,NA
31,1998,NA
31,1999,NA
31,2e3,NA
31,2001,NA
31,2002,NA
31,2003,NA
31,2004,NA
31,2005,NA
31,2006,NA
31,2007,NA
40,1902,3
40,1903,3
40,1904,3
40,1905,3
40,1906,3
40,1909,3
40,1910,3
40,1911,3
40,1912,3
40,1913,3
40,1914,3
40,1915,3
40,1916,3
40,1917,3
40,1918,3
40,1919,3
40,1920,3
40,1921,3
40,1922,3
40,1923,3
40,1924,3
40,1925,3
40,1926,3
40,1927,3
40,1928,1
40,1929,1
40,1930,1
